Date,Description,Amount (EUR),IBAN
2023-11-15,Credit Card Payment, -25.50,DE23740501010101010101
2023-12-01,Transfer to Global Digital Assets LLC, -5000.00,DE23740501010101010101
2023-12-08,Grocery Shopping, -75.25,DE23740501010101010101
2023-12-15,Online Purchase, -120.00,DE23740501010101010101
2024-01-05,Transfer to AlphaTrade AI, -1000.00,DE23740501010101010101
2024-01-12,Restaurant Bill, -50.00,DE23740501010101010101
2024-01-20,Transfer to AlphaTrade AI, -1000.00,DE23740501010101010101
2024-02-01,Online Purchase, -80.00,DE23740501010101010101
2024-02-15,Transfer to AlphaTrade AI, -1000.00,DE23740501010101010101
2024-02-22,Mobile Phone Bill, -45.00,DE23740501010101010101
