Date,Description,Amount (EUR),Recipient IBAN
2023-11-10,Incoming Salary,5000.00,
2023-11-15,Investment Crypto Innovations, -5000.00,X789012345
2023-11-18,Incoming Salary,5000.00,
2023-11-22,Outgoing Expenses, -200.00,
2023-11-25,Incoming Salary,5000.00,
2023-11-28,Outgoing Expenses, -150.00,
2023-12-01,Incoming Salary,5000.00,
2023-12-05,Outgoing Expenses, -300.00,
2023-12-08,Incoming Salary,5000.00,
2023-12-12,Outgoing Expenses, -250.00,
2023-12-15,Incoming Salary,5000.00,
2023-12-19,Outgoing Expenses, -400.00,
2023-12-22,Incoming Salary,5000.00,
2023-12-26,Outgoing Expenses, -180.00,
2023-12-29,Incoming Salary,5000.00,
2023-12-31,Outgoing Expenses, -220.00,
