Date,Description,Amount,Currency,IBAN
2023-03-10,Salary Credit,8000.00,GBP,
2023-03-15,Online Transfer,10000.00,GBP,GB29NWBK40341320492372
2023-04-15,Salary Credit,8000.00,GBP,
2023-04-22,Cryptocurrency Purchase,7500.00,GBP,
2023-05-15,Salary Credit,8000.00,GBP,
2023-06-01,Online Transfer,5000.00,GBP,GB29NWBK40341320492372
2023-07-15,Salary Credit,8000.00,GBP,
2023-08-01,Withdrawal Attempt,-15000.00,GBP,GB29NWBK40341320492372
2023-09-12,Bank Charge,-5.00,GBP,
2023-09-15,Salary Credit,8000.00,GBP,
